dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,class_id,class_name,intersection_pixels,union_pixels,iou,is_foreground
127,2007_004166,low_light,medium,0.35,3.6950268823317622,0,background,110632,127842,0.8653807043068789,False
127,2007_004166,low_light,medium,0.35,3.6950268823317622,8,cat,0,490,0.0,True
127,2007_004166,low_light,medium,0.35,3.6950268823317622,9,chair,3974,5588,0.7111667859699355,True
127,2007_004166,low_light,medium,0.35,3.6950268823317622,11,diningtable,8878,21352,0.4157924316223305,True
127,2007_004166,low_light,medium,0.35,3.6950268823317622,12,dog,73,991,0.07366296670030273,True
127,2007_004166,low_light,medium,0.35,3.6950268823317622,16,pottedplant,0,3348,0.0,True
127,2007_004166,low_light,medium,0.35,3.6950268823317622,18,sofa,8094,8493,0.9530201342281879,True
127,2007_004166,low_light,medium,0.35,3.6950268823317622,20,tvmonitor,2522,2781,0.9068680330816253,True
127,2007_004166,low_light,severe,0.15,1.3758359851407918,0,background,113657,134978,0.8420409251878084,False
127,2007_004166,low_light,severe,0.15,1.3758359851407918,9,chair,3237,5014,0.6455923414439569,True
127,2007_004166,low_light,severe,0.15,1.3758359851407918,11,diningtable,2449,21296,0.11499812171299775,True
127,2007_004166,low_light,severe,0.15,1.3758359851407918,12,dog,0,991,0.0,True
127,2007_004166,low_light,severe,0.15,1.3758359851407918,16,pottedplant,0,369,0.0,True
127,2007_004166,low_light,severe,0.15,1.3758359851407918,18,sofa,8086,9863,0.8198316942106864,True
127,2007_004166,low_light,severe,0.15,1.3758359851407918,20,tvmonitor,2337,2781,0.8403451995685005,True
160,2007_005262,gaussian_noise,mild,10.0,22.499437840067863,0,background,149557,150050,0.9967144285238254,False
160,2007_005262,gaussian_noise,mild,10.0,22.499437840067863,6,bus,24522,24731,0.991549067971372,True
160,2007_005262,gaussian_noise,mild,10.0,22.499437840067863,7,car,7992,8115,0.9848428835489834,True
160,2007_005262,gaussian_noise,mild,10.0,22.499437840067863,15,person,0,161,0.0,True
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,0,background,149533,150188,0.9956387993714545,False
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,6,bus,24515,24749,0.9905450725281829,True
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,7,car,7861,8117,0.9684612541579402,True
160,2007_005262,gaussian_noise,medium,25.0,14.673178550424401,15,person,0,165,0.0,True
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,0,background,149427,153063,0.9762450755571236,False
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,6,bus,21740,24745,0.8785613255203071,True
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,7,car,7744,8299,0.9331244728280516,True
160,2007_005262,gaussian_noise,severe,50.0,9.019962506369827,15,person,0,110,0.0,True
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,0,background,149545,150053,0.9966145295328984,False
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,6,bus,24490,24740,0.9898949070331448,True
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,7,car,8021,8115,0.9884165126309303,True
160,2007_005262,jpeg_compression,mild,50.0,21.47173427689236,15,person,0,164,0.0,True
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,0,background,149575,150159,0.9961107892300828,False
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,6,bus,24487,24744,0.9896136437116069,True
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,7,car,7918,8234,0.9616225406849648,True
160,2007_005262,jpeg_compression,medium,20.0,18.416783860879605,15,person,0,11,0.0,True
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,0,background,149701,161075,0.9293869315536241,False
160,2007_005262,jpeg_compression,severe,5.0,15.263443201342042,6,bus,20971,24730,0.8479983825313384,True
