dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,mean_iou_all_classes,mean_iou_foreground,num_evaluated_classes,num_evaluated_foreground_classes
210,2007_006899,jpeg_compression,mild,50.0,22.868503790794247,0.2487972463213124,0.0,4,3
210,2007_006899,jpeg_compression,medium,20.0,20.569116643862433,0.24866707138426616,0.0,4,3
210,2007_006899,jpeg_compression,severe,5.0,17.216756896224656,0.2463755157584375,0.0,4,3
210,2007_006899,low_light,mild,0.6,7.897782626164044,0.2488419759500861,0.0,4,3
210,2007_006899,low_light,medium,0.35,3.696969080480594,0.24898342643663982,0.0,4,3
210,2007_006899,low_light,severe,0.15,1.377399008967809,0.24856813562900856,0.0,4,3
211,2007_006900,gaussian_noise,mild,10.0,22.560169405290207,0.9732364384857686,0.9686358466581922,2,1
211,2007_006900,gaussian_noise,medium,25.0,14.985768514795339,0.961923999239439,0.9552107023411371,2,1
211,2007_006900,gaussian_noise,severe,50.0,9.713352341289648,0.9229529255278657,0.9108481919680054,2,1
211,2007_006900,jpeg_compression,mild,50.0,27.990681217763658,0.9717467455963498,0.9669128942201087,2,1
211,2007_006900,jpeg_compression,medium,20.0,24.60485785539726,0.9252824323888889,0.9104691191360108,2,1
211,2007_006900,jpeg_compression,severe,5.0,19.474597996729468,0.35139730263665675,0.09304534230591811,2,1
211,2007_006900,low_light,mild,0.6,7.904493165238468,0.9771098211289375,0.9731765841365165,2,1
211,2007_006900,low_light,medium,0.35,3.704936735481006,0.976011592949801,0.9718853436608016,2,1
211,2007_006900,low_light,severe,0.15,1.3791114287339725,0.9663318955107757,0.9604580234362459,2,1
214,2007_007021,gaussian_noise,mild,10.0,21.929605944008888,0.5097135995021153,0.4742204219666409,6,5
214,2007_007021,gaussian_noise,medium,25.0,14.138827193454048,0.6057090947310789,0.5887298330181879,5,4
214,2007_007021,gaussian_noise,severe,50.0,8.496424781253566,0.5381441730353864,0.5130551744462251,5,4
214,2007_007021,jpeg_compression,mild,50.0,22.664685773015098,0.44065829674212226,0.3996776004194646,7,6
214,2007_007021,jpeg_compression,medium,20.0,20.10863273587713,0.5885677669140585,0.5704766845099374,5,4
214,2007_007021,jpeg_compression,severe,5.0,15.965400938635163,0.3532204957326712,0.26769989496297286,4,3
214,2007_007021,low_light,mild,0.6,7.895887862353317,0.5224157376208368,0.479638114639619,6,5
214,2007_007021,low_light,medium,0.35,3.6958494398756385,0.5053804214561669,0.4647411800478477,6,5
214,2007_007021,low_light,severe,0.15,1.376561240786303,0.6669838548611793,0.6681497674041522,4,3
215,2007_007048,gaussian_noise,mild,10.0,21.93598310803633,0.7032697627558976,0.6293839148843283,4,3
215,2007_007048,gaussian_noise,medium,25.0,14.308614833932769,0.6436190370943166,0.5927975362049104,4,3
215,2007_007048,gaussian_noise,severe,50.0,8.789048159982787,0.39138275383970655,0.3651927853108276,4,3
215,2007_007048,jpeg_compression,mild,50.0,22.77425785231228,0.5581649506057856,0.468901166558534,5,4
215,2007_007048,jpeg_compression,medium,20.0,19.58158480856434,0.6818858567131207,0.6147293431989381,4,3
215,2007_007048,jpeg_compression,severe,5.0,15.287129245197956,0.08019454499381247,0.020473179887385163,6,5
215,2007_007048,low_light,mild,0.6,7.90247741314402,0.6992995198968173,0.6275326507301133,4,3
215,2007_007048,low_light,medium,0.35,3.6995360673965543,0.6898140585630657,0.6213831785934035,4,3
215,2007_007048,low_light,severe,0.15,1.3794840587785282,0.6516881657185832,0.5968219510294112,4,3
220,2007_007355,gaussian_noise,mild,10.0,20.479129283629153,0.9513351884137173,0.9446624991747052,3,2
220,2007_007355,gaussian_noise,medium,25.0,13.033254539816133,0.9242590957269377,0.920807917232981,3,2
220,2007_007355,gaussian_noise,severe,50.0,7.614180455450511,0.7782451087280715,0.7551420173847772,3,2
220,2007_007355,jpeg_compression,mild,50.0,21.64548200622596,0.9378864683768491,0.9283044494436866,3,2
220,2007_007355,jpeg_compression,medium,20.0,18.583529227383394,0.9247758158632701,0.9197264734086414,3,2
220,2007_007355,jpeg_compression,severe,5.0,14.608211086023083,0.0979702643431509,0.0,4,3
220,2007_007355,low_light,mild,0.6,7.89811647708233,0.9461291928443935,0.9434698249124148,3,2
220,2007_007355,low_light,medium,0.35,3.697414859674118,0.9228547036885725,0.9159335438721627,3,2
220,2007_007355,low_light,severe,0.15,1.377751122464538,0.6728317611792596,0.5919725685461984,4,3
251,2007_008142,gaussian_noise,mild,10.0,20.871721828357952,0.9231923158369826,0.8852706470232408,3,2
251,2007_008142,gaussian_noise,medium,25.0,13.164823914701975,0.8841470118366708,0.8270204247743611,3,2
251,2007_008142,gaussian_noise,severe,50.0,7.686618148109244,0.8604401908096865,0.793191957662864,3,2
251,2007_008142,jpeg_compression,mild,50.0,20.146242172627744,0.9408596916234432,0.9118331606324898,3,2
251,2007_008142,jpeg_compression,medium,20.0,15.992494940726885,0.888021513580033,0.8333062644953313,3,2
251,2007_008142,jpeg_compression,severe,5.0,12.145885198802564,0.22715302004241056,0.0,4,3
251,2007_008142,low_light,mild,0.6,7.892841296029504,0.935583025162609,0.9038395872238105,3,2
251,2007_008142,low_light,medium,0.35,3.693254848088055,0.9355782152552102,0.9040032072749307,3,2
251,2007_008142,low_light,severe,0.15,1.3745081530002337,0.9258613040847283,0.8898032719309519,3,2
284,2007_009436,gaussian_noise,mild,10.0,24.469244075250014,0.9711062096808242,0.9615963212845644,3,2
284,2007_009436,gaussian_noise,medium,25.0,16.856644058928453,0.9582011126629104,0.9456466957593314,3,2
284,2007_009436,gaussian_noise,severe,50.0,11.486727164756962,0.9364433761895886,0.9157105474054812,3,2
284,2007_009436,jpeg_compression,mild,50.0,22.592740621582404,0.975828249571013,0.9683090756475123,3,2
284,2007_009436,jpeg_compression,medium,20.0,18.738050424597994,0.9471657315394345,0.9297981385935554,3,2
284,2007_009436,jpeg_compression,severe,5.0,15.320172883144474,0.5445277145156776,0.4078440235493609,3,2
284,2007_009436,low_light,mild,0.6,7.91228285972294,0.9672668351596769,0.9570866934174815,3,2
284,2007_009436,low_light,medium,0.35,3.707135037074914,0.9171881678509767,0.8953213694340645,3,2
284,2007_009436,low_light,severe,0.15,1.3852856016130155,0.6076449134187646,0.4983979143910881,3,2
317,2008_000103,gaussian_noise,mild,10.0,22.200840004961893,0.9393167386285721,0.8835147118097542,2,1
317,2008_000103,gaussian_noise,medium,25.0,14.486950858490621,0.6265906070913432,0.4421156373193167,3,2
317,2008_000103,gaussian_noise,severe,50.0,8.936232689023205,0.5785465121287304,0.3682014001077006,3,2
317,2008_000103,jpeg_compression,mild,50.0,20.941751532285583,0.9308509387141073,0.8672255273120606,2,1
317,2008_000103,jpeg_compression,medium,20.0,18.15222845941398,0.9195035878777236,0.8454014400217362,2,1
317,2008_000103,jpeg_compression,severe,5.0,14.47974334143581,0.3218228902222198,0.0,3,2
317,2008_000103,low_light,mild,0.6,7.899001536611827,0.9316936243339671,0.8688145731375748,2,1
317,2008_000103,low_light,medium,0.35,3.6988602011780554,0.6114720170902815,0.42730858153134776,3,2
317,2008_000103,low_light,severe,0.15,1.3773743805355716,0.4692652703790561,0.2955709687655832,4,3
325,2008_000207,gaussian_noise,mild,10.0,17.98148001667911,0.9719689796683955,0.9528960223307746,2,1
325,2008_000207,gaussian_noise,medium,25.0,10.379975844249348,0.9704909659476819,0.9504071345482745,2,1
325,2008_000207,gaussian_noise,severe,50.0,4.68085606202029,0.9549559511495578,0.9243386854568557,2,1
325,2008_000207,jpeg_compression,mild,50.0,23.276137221148268,0.9662171254217107,0.9433062997271016,2,1
325,2008_000207,jpeg_compression,medium,20.0,20.38654740766253,0.9536506824214881,0.922355887822094,2,1
325,2008_000207,jpeg_compression,severe,5.0,14.711315939424633,0.49376048070654427,0.1253433511068024,2,1
325,2008_000207,low_light,mild,0.6,7.8892391251918,0.9715969601263974,0.9522776572668112,2,1
325,2008_000207,low_light,medium,0.35,3.690899726078563,0.9709161653607442,0.9511449791118676,2,1
325,2008_000207,low_light,severe,0.15,1.371955340901453,0.9683798618746002,0.9468927426518867,2,1
331,2008_000273,gaussian_noise,mild,10.0,21.537400912989465,0.2622226026659341,0.12716712144437534,4,3
331,2008_000273,gaussian_noise,medium,25.0,14.10134873928461,0.1262148247602354,0.001616686743168706,5,4
331,2008_000273,gaussian_noise,severe,50.0,8.821913065056968,0.12610761590448724,0.0,5,4
331,2008_000273,jpeg_compression,mild,50.0,22.24075083116012,0.21019342603166005,0.06594887015461041,4,3
331,2008_000273,jpeg_compression,medium,20.0,20.126639055135275,0.15579237262767168,0.0,4,3
331,2008_000273,jpeg_compression,severe,5.0,16.23165157388666,0.20662528085343937,0.0,3,2
331,2008_000273,low_light,mild,0.6,7.905007669022042,0.2940996413773373,0.18779042050518097,5,4
331,2008_000273,low_light,medium,0.35,3.7017115724104572,0.2098732805644445,0.0958650624428876,5,4
331,2008_000273,low_light,severe,0.15,1.3811266832825733,0.13745713844900237,0.014643026753205635,5,4
352,2008_000540,gaussian_noise,mild,10.0,19.29807682441194,0.6629725617078187,0.4960648891744298,3,2
352,2008_000540,gaussian_noise,medium,25.0,11.645896055989375,0.9950066222744887,0.9920287715719692,2,1
352,2008_000540,gaussian_noise,severe,50.0,6.525725502211209,0.9626825128547869,0.940330428273539,2,1
352,2008_000540,jpeg_compression,mild,50.0,26.62480741705422,0.9901954872920277,0.9843841291761831,2,1
352,2008_000540,jpeg_compression,medium,20.0,23.730169536261883,0.9907079666704222,0.9851806360310806,2,1
352,2008_000540,jpeg_compression,severe,5.0,17.299277829819275,0.8175185450607539,0.7043112286192198,2,1
352,2008_000540,low_light,mild,0.6,7.886307405393533,0.994327055540476,0.9909485298055809,2,1
352,2008_000540,low_light,medium,0.35,3.6874302020862713,0.9956095504951974,0.9929904659594467,2,1
352,2008_000540,low_light,severe,0.15,1.3707122193259234,0.9960420040994002,0.9936785474108945,2,1
356,2008_000584,gaussian_noise,mild,10.0,23.692465346200958,0.9865404658785022,0.9740358335863953,2,1
356,2008_000584,gaussian_noise,medium,25.0,15.926593468936115,0.9726416365114101,0.9472247497725205,2,1
356,2008_000584,gaussian_noise,severe,50.0,10.40351461008944,0.9338311140950881,0.8726522481502561,2,1
356,2008_000584,jpeg_compression,mild,50.0,24.396089307583626,0.9919502027578331,0.9844701583434835,2,1
356,2008_000584,jpeg_compression,medium,20.0,21.78149375994902,0.9823910229819431,0.9660268129189519,2,1
356,2008_000584,jpeg_compression,severe,5.0,18.104012532085584,0.5051336403042763,0.044095209032651815,2,1
356,2008_000584,low_light,mild,0.6,7.906935484509532,0.9925956642677403,0.9857164564655827,2,1
356,2008_000584,low_light,medium,0.35,3.70362845122386,0.9923593602213183,0.9852605986932077,2,1
356,2008_000584,low_light,severe,0.15,1.382543860799986,0.9850104776629849,0.97109913147649,2,1
358,2008_000595,gaussian_noise,mild,10.0,21.39322873135853,0.6276765572912764,0.44950140628995144,3,2
358,2008_000595,gaussian_noise,medium,25.0,13.835728209608892,0.6062007573378776,0.42383398255713745,3,2
358,2008_000595,gaussian_noise,severe,50.0,8.301667779166594,0.945644654933727,0.9053449583017438,2,1
358,2008_000595,jpeg_compression,mild,50.0,21.262740847152415,0.9666967867570924,0.9419685551432615,2,1
358,2008_000595,jpeg_compression,medium,20.0,17.74953848346711,0.9740663743600542,0.9547288385444953,2,1
358,2008_000595,jpeg_compression,severe,5.0,13.685572742575921,0.5827041707690213,0.2589601006616065,2,1
358,2008_000595,low_light,mild,0.6,7.901188491183041,0.970682089884372,0.9488651689722939,2,1
358,2008_000595,low_light,medium,0.35,3.6992497012605865,0.9568621452673106,0.925,2,1
358,2008_000595,low_light,severe,0.15,1.3792614238121625,0.9421361274684088,0.8997511163165215,2,1
360,2008_000645,gaussian_noise,mild,10.0,20.84649018773446,0.7472073822731777,0.6181304830089744,2,1
360,2008_000645,gaussian_noise,medium,25.0,12.936114986330836,0.466427287932406,0.16789463060153412,2,1
360,2008_000645,gaussian_noise,severe,50.0,7.2344606069997095,0.4556594899048488,0.15269192422731803,2,1
360,2008_000645,jpeg_compression,mild,50.0,28.563323684883144,0.9013154413110179,0.856023979887836,2,1
360,2008_000645,jpeg_compression,medium,20.0,25.242467506507353,0.724741745052701,0.647774882063801,2,1
360,2008_000645,jpeg_compression,severe,5.0,20.270198949100976,0.36535975286128386,0.0,2,1
360,2008_000645,low_light,mild,0.6,7.88397067386673,0.8720695428240229,0.8098836330663443,2,1
360,2008_000645,low_light,medium,0.35,3.6873512740247385,0.7305926835846195,0.5921948268038119,2,1
360,2008_000645,low_light,severe,0.15,1.3699348821783648,0.4604762393088863,0.15787612407800344,2,1
375,2008_000923,gaussian_noise,mild,10.0,22.597782389370305,0.46230757920702675,0.22978294920563885,3,2
375,2008_000923,gaussian_noise,medium,25.0,14.953487273072065,0.5528794753987393,0.3629752588728164,3,2
375,2008_000923,gaussian_noise,severe,50.0,9.559604113679358,0.36575894929069164,0.10553871589969689,3,2
375,2008_000923,jpeg_compression,mild,50.0,19.342136773280163,0.5312704284617289,0.3162478153438197,3,2
375,2008_000923,jpeg_compression,medium,20.0,17.148264776725146,0.7237338125487959,0.5051465925167081,2,1
375,2008_000923,jpeg_compression,severe,5.0,13.721893465585971,0.23538998523291718,0.0,4,3
375,2008_000923,low_light,mild,0.6,7.903383211555566,0.5763838842802941,0.37491130977721016,3,2
375,2008_000923,low_light,medium,0.35,3.7012992408145218,0.9265867195128725,0.8618450716926684,2,1
375,2008_000923,low_light,severe,0.15,1.3806825959858529,0.7662538730860415,0.5585441549891846,2,1
400,2008_001462,gaussian_noise,mild,10.0,22.249442331070885,0.5411096800390671,0.36327055155269034,3,2
400,2008_001462,gaussian_noise,medium,25.0,14.58253602451954,0.8351265865384512,0.7118909991742361,2,1
400,2008_001462,gaussian_noise,severe,50.0,9.179226434015012,0.8310911215178021,0.7051722726900729,2,1
400,2008_001462,jpeg_compression,mild,50.0,17.954101435582775,0.8461597087912456,0.7303180451446237,2,1
